sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Kent County,2020-03-05,7.0,-4.0,44.0,5.0,2.0,-1.0
Kent County,2020-03-06,2.0,-14.0,11.0,0.0,2.0,1.0
Kent County,2020-03-07,7.0,-14.0,24.0,-5.0,1.0,-1.0
Kent County,2020-03-08,9.0,-9.0,64.0,5.0,5.0,-1.0
Kent County,2020-03-09,9.0,-7.0,,-6.0,2.0,-1.0
Kent County,2020-03-10,10.0,-12.0,,-5.0,1.0,0.0
Kent County,2020-03-11,8.0,3.0,59.0,0.0,-1.0,0.0
Kent County,2020-03-12,8.0,35.0,31.0,-7.0,-1.0,1.0
Kent County,2020-03-13,-2.0,40.0,-2.0,-20.0,-5.0,4.0
Kent County,2020-03-14,-10.0,25.0,109.0,-17.0,-3.0,3.0
Kent County,2020-03-15,-16.0,9.0,78.0,-21.0,-5.0,4.0
Kent County,2020-03-16,-11.0,23.0,,-27.0,-21.0,9.0
Kent County,2020-03-17,-31.0,3.0,0.0,-26.0,-31.0,14.0
Kent County,2020-03-18,-30.0,4.0,,-35.0,-33.0,14.0
Kent County,2020-03-19,-36.0,9.0,-7.0,-50.0,-36.0,17.0
Kent County,2020-03-20,-34.0,17.0,,-49.0,-36.0,17.0
Kent County,2020-03-21,-38.0,2.0,,-49.0,-23.0,10.0
Kent County,2020-03-22,-44.0,-13.0,78.0,-54.0,-24.0,9.0
Kent County,2020-03-23,-45.0,-16.0,-2.0,-59.0,-40.0,18.0
Kent County,2020-03-24,-39.0,-14.0,,-56.0,-44.0,19.0
Kent County,2020-03-25,-43.0,-15.0,17.0,-58.0,-46.0,20.0
Kent County,2020-03-26,-38.0,1.0,,-59.0,-46.0,19.0
Kent County,2020-03-27,-41.0,-12.0,,-62.0,-45.0,21.0
Kent County,2020-03-28,-46.0,-13.0,,-63.0,-34.0,13.0
Kent County,2020-03-29,-57.0,-26.0,-44.0,-72.0,-36.0,13.0
Kent County,2020-03-30,-47.0,-26.0,23.0,-66.0,-46.0,20.0
Kent County,2020-03-31,-40.0,-22.0,,-61.0,-49.0,21.0
Kent County,2020-04-01,-42.0,-15.0,38.0,-62.0,-48.0,21.0
Kent County,2020-04-02,-44.0,-9.0,5.0,-65.0,-49.0,22.0
Kent County,2020-04-03,-49.0,-13.0,-49.0,-68.0,-49.0,25.0
Kent County,2020-04-04,-50.0,-15.0,34.0,-69.0,-36.0,14.0
Kent County,2020-04-05,-51.0,-24.0,2.0,-70.0,-36.0,12.0
Kent County,2020-04-06,-42.0,-19.0,,-66.0,-49.0,19.0
Kent County,2020-04-07,-39.0,-18.0,,-65.0,-51.0,21.0
Kent County,2020-04-08,-45.0,-15.0,-11.0,-66.0,-52.0,22.0
Kent County,2020-04-09,-49.0,-14.0,-36.0,-69.0,-52.0,24.0
Kent County,2020-04-10,-43.0,-5.0,8.0,-67.0,-53.0,24.0
Kent County,2020-04-11,-42.0,3.0,72.0,-69.0,-38.0,13.0
Kent County,2020-04-12,-67.0,-55.0,7.0,-76.0,-42.0,12.0
Kent County,2020-04-13,-59.0,-44.0,-53.0,-75.0,-53.0,24.0
Kent County,2020-04-14,-32.0,-18.0,,-64.0,-50.0,20.0
Kent County,2020-04-15,-34.0,-18.0,23.0,-66.0,-50.0,21.0
Kent County,2020-04-16,-35.0,-9.0,32.0,-66.0,-50.0,22.0
Kent County,2020-04-17,-37.0,-18.0,38.0,-67.0,-49.0,23.0
Kent County,2020-04-18,-52.0,-27.0,-42.0,-71.0,-38.0,16.0
Kent County,2020-04-19,-38.0,-24.0,73.0,-69.0,-33.0,10.0
Kent County,2020-04-20,-39.0,-24.0,39.0,-69.0,-49.0,20.0
Kent County,2020-04-21,-41.0,-26.0,-26.0,-69.0,-50.0,22.0
Kent County,2020-04-22,-36.0,-19.0,7.0,-65.0,-50.0,21.0
Kent County,2020-04-23,-34.0,-14.0,43.0,-67.0,-49.0,21.0
Kent County,2020-04-24,-44.0,-24.0,-28.0,-72.0,-49.0,25.0
Kent County,2020-04-25,-37.0,-20.0,,-60.0,-32.0,11.0
Kent County,2020-04-26,-48.0,-28.0,-37.0,-73.0,-34.0,12.0
Kent County,2020-04-27,-42.0,-27.0,-29.0,-71.0,-48.0,21.0
Kent County,2020-04-28,-30.0,-18.0,,-61.0,-49.0,14.0
Kent County,2020-04-29,-30.0,-18.0,82.0,-60.0,-48.0,19.0
Kent County,2020-04-30,-37.0,-9.0,-15.0,-64.0,-49.0,22.0
Kent County,2020-05-01,-36.0,-13.0,34.0,-63.0,-47.0,22.0
Kent County,2020-05-02,-31.0,-14.0,,-52.0,-30.0,10.0
Kent County,2020-05-03,-29.0,-15.0,119.0,-57.0,-26.0,7.0
Kent County,2020-05-04,-27.0,-17.0,,-64.0,-45.0,17.0
Kent County,2020-05-05,-20.0,-10.0,,-60.0,-46.0,18.0
Kent County,2020-05-06,-27.0,-13.0,36.0,-58.0,-47.0,19.0
Kent County,2020-05-07,-28.0,-6.0,,-57.0,-46.0,19.0
Kent County,2020-05-08,-35.0,-12.0,14.0,-59.0,-45.0,21.0
Kent County,2020-05-09,-32.0,0.0,24.0,-55.0,-31.0,12.0
Kent County,2020-05-10,-29.0,-8.0,50.0,-57.0,-22.0,6.0
Kent County,2020-05-11,-33.0,-24.0,23.0,-60.0,-43.0,18.0
Kent County,2020-05-12,-23.0,-14.0,63.0,-55.0,-45.0,17.0
Kent County,2020-05-13,-23.0,-11.0,83.0,-51.0,-45.0,17.0
Kent County,2020-05-14,-21.0,-8.0,,-53.0,-45.0,17.0
Kent County,2020-05-15,-27.0,-10.0,,-56.0,-44.0,18.0
Kent County,2020-05-16,-26.0,-12.0,,-53.0,-26.0,7.0
Kent County,2020-05-17,-23.0,-14.0,89.0,-53.0,-20.0,7.0
Kent County,2020-05-18,-24.0,-16.0,,-55.0,-42.0,16.0
Kent County,2020-05-19,-15.0,-11.0,,-51.0,-43.0,16.0
Kent County,2020-05-20,-15.0,-9.0,,-55.0,-43.0,15.0
Kent County,2020-05-21,-14.0,-2.0,,-52.0,-43.0,15.0
Kent County,2020-05-22,-17.0,-7.0,,-54.0,-43.0,15.0
Kent County,2020-05-23,-27.0,-14.0,55.0,-60.0,-27.0,10.0
Kent County,2020-05-24,-16.0,-11.0,189.0,-55.0,-18.0,3.0
Kent County,2020-05-25,-14.0,-17.0,,-64.0,-75.0,22.0
Kent County,2020-05-26,-13.0,-16.0,,-54.0,-42.0,15.0
Kent County,2020-05-27,-10.0,-9.0,,-49.0,-40.0,14.0
Kent County,2020-05-28,-13.0,-7.0,,-49.0,-41.0,16.0
Kent County,2020-05-29,-19.0,-14.0,,-56.0,-38.0,17.0
Kent County,2020-05-30,-14.0,-10.0,,-52.0,-13.0,6.0
Kent County,2020-05-31,-12.0,-9.0,193.0,-51.0,-7.0,4.0
Kent County,2020-06-01,-4.0,-9.0,,-54.0,-36.0,12.0
Kent County,2020-06-02,-11.0,-10.0,,-51.0,-39.0,14.0
Kent County,2020-06-03,-6.0,-4.0,,-49.0,-39.0,14.0
Kent County,2020-06-04,-3.0,0.0,,-45.0,-39.0,12.0
Kent County,2020-06-05,-12.0,-13.0,,-56.0,-38.0,14.0
Kent County,2020-06-06,-12.0,-16.0,,-57.0,-15.0,6.0
Kent County,2020-06-07,-7.0,-12.0,175.0,-53.0,-9.0,3.0
Kent County,2020-06-08,-5.0,-13.0,,-52.0,-35.0,11.0
Kent County,2020-06-09,-1.0,-13.0,,-48.0,-37.0,12.0
Kent County,2020-06-10,-2.0,-8.0,,-47.0,-38.0,12.0
Kent County,2020-06-11,-11.0,-7.0,70.0,-48.0,-38.0,15.0
Kent County,2020-06-12,-9.0,-10.0,,-51.0,-36.0,12.0
Kent County,2020-06-13,-8.0,-9.0,,-45.0,-12.0,3.0
Kent County,2020-06-14,-5.0,-10.0,,-43.0,-6.0,2.0
Kent County,2020-06-15,-2.0,-10.0,,-47.0,-36.0,11.0
Kent County,2020-06-16,3.0,-8.0,,-42.0,-37.0,11.0
Kent County,2020-06-17,0.0,-5.0,,-42.0,-37.0,11.0
Kent County,2020-06-18,1.0,1.0,,-42.0,-37.0,11.0
Kent County,2020-06-19,-7.0,-3.0,,-47.0,-37.0,10.0
Kent County,2020-06-20,-6.0,1.0,,-47.0,-12.0,2.0
Kent County,2020-06-21,-9.0,-3.0,,-44.0,-6.0,0.0
Kent County,2020-06-22,-4.0,-11.0,,-46.0,-37.0,10.0
Kent County,2020-06-23,2.0,-9.0,,-41.0,-38.0,11.0
Kent County,2020-06-24,-2.0,-6.0,,-43.0,-37.0,11.0
Kent County,2020-06-25,1.0,-1.0,,-38.0,-37.0,10.0
Kent County,2020-06-26,-9.0,-9.0,,-46.0,-37.0,11.0
Kent County,2020-06-27,-14.0,-13.0,,-46.0,-14.0,4.0
Kent County,2020-06-28,-8.0,-12.0,221.0,-39.0,-2.0,2.0
Kent County,2020-06-29,-5.0,-9.0,,-47.0,-35.0,11.0
Kent County,2020-06-30,1.0,-9.0,,-40.0,-37.0,12.0
Kent County,2020-07-01,2.0,5.0,,-43.0,-38.0,11.0
Kent County,2020-07-02,12.0,17.0,,-38.0,-39.0,9.0
Kent County,2020-07-03,2.0,19.0,,-46.0,-57.0,15.0
Kent County,2020-07-04,-31.0,-13.0,,-55.0,-33.0,2.0
Kent County,2020-07-05,-16.0,-15.0,,-45.0,-11.0,1.0
Kent County,2020-07-06,1.0,-5.0,,-45.0,-46.0,11.0
Kent County,2020-07-07,1.0,-6.0,,-40.0,-39.0,10.0
Kent County,2020-07-08,0.0,-3.0,,-43.0,-38.0,10.0
Kent County,2020-07-09,-1.0,2.0,,-39.0,-39.0,10.0
Kent County,2020-07-10,-11.0,-8.0,,-48.0,-38.0,13.0
Kent County,2020-07-11,-9.0,-10.0,,-45.0,-12.0,4.0
Kent County,2020-07-12,-10.0,-9.0,,-40.0,-7.0,1.0
Kent County,2020-07-13,-4.0,-9.0,,-47.0,-37.0,10.0
Kent County,2020-07-14,-1.0,-9.0,,-45.0,-39.0,10.0
Kent County,2020-07-15,0.0,-2.0,,-44.0,-37.0,9.0
Kent County,2020-07-16,3.0,4.0,,-39.0,-37.0,9.0
Kent County,2020-07-17,-10.0,-8.0,,-48.0,-38.0,12.0
Kent County,2020-07-18,-12.0,-10.0,,-44.0,-13.0,1.0
Kent County,2020-07-19,-10.0,-12.0,,-43.0,-8.0,0.0
Kent County,2020-07-20,-5.0,-10.0,,-47.0,-38.0,10.0
Kent County,2020-07-21,0.0,-7.0,,-42.0,-38.0,10.0
Kent County,2020-07-22,-3.0,-5.0,,-45.0,-37.0,10.0
Kent County,2020-07-23,-2.0,0.0,,-41.0,-36.0,10.0
Kent County,2020-07-24,-11.0,-7.0,,-48.0,-37.0,10.0
Kent County,2020-07-25,-13.0,-10.0,,-46.0,-14.0,2.0
Kent County,2020-07-26,-13.0,-10.0,237.0,-45.0,-7.0,1.0
Kent County,2020-07-27,-7.0,-9.0,,-47.0,-37.0,9.0
Newport County,2020-02-15,12.0,-6.0,54.0,,0.0,0.0
Newport County,2020-02-16,28.0,7.0,39.0,,0.0,
Newport County,2020-02-17,23.0,2.0,,-26.0,-40.0,8.0
Newport County,2020-02-18,5.0,-2.0,7.0,-27.0,-10.0,2.0
Newport County,2020-02-19,6.0,2.0,30.0,-13.0,-2.0,1.0
Newport County,2020-02-20,8.0,-2.0,22.0,-19.0,-4.0,0.0
Newport County,2020-02-21,8.0,-3.0,27.0,,0.0,2.0
Newport County,2020-02-22,19.0,6.0,96.0,,4.0,-1.0
Newport County,2020-02-23,25.0,8.0,68.0,,4.0,
Newport County,2020-02-24,7.0,4.0,45.0,,4.0,-1.0
Newport County,2020-02-25,7.0,7.0,7.0,-13.0,2.0,0.0
Newport County,2020-02-26,7.0,4.0,13.0,-9.0,6.0,0.0
Newport County,2020-02-27,11.0,-10.0,12.0,-19.0,2.0,0.0
Newport County,2020-02-28,11.0,4.0,9.0,,6.0,-1.0
Newport County,2020-02-29,17.0,2.0,47.0,,2.0,-2.0
Newport County,2020-03-01,14.0,11.0,5.0,,8.0,
Newport County,2020-03-02,12.0,3.0,25.0,-12.0,3.0,-1.0
Newport County,2020-03-03,12.0,7.0,41.0,-20.0,1.0,0.0
Newport County,2020-03-04,11.0,4.0,24.0,-7.0,5.0,-1.0
Newport County,2020-03-05,16.0,-6.0,46.0,,5.0,-1.0
Newport County,2020-03-06,9.0,-6.0,7.0,,7.0,0.0
Newport County,2020-03-07,11.0,2.0,33.0,,5.0,0.0
Newport County,2020-03-08,16.0,8.0,28.0,,6.0,
Newport County,2020-03-09,18.0,0.0,85.0,,3.0,0.0
Newport County,2020-03-10,11.0,8.0,36.0,-16.0,1.0,1.0
Newport County,2020-03-11,11.0,9.0,48.0,-11.0,2.0,0.0
Newport County,2020-03-12,14.0,12.0,32.0,,1.0,0.0
Newport County,2020-03-13,7.0,27.0,-14.0,-20.0,-1.0,4.0
Newport County,2020-03-14,13.0,19.0,64.0,,-6.0,3.0
Newport County,2020-03-15,2.0,17.0,37.0,,-4.0,
Newport County,2020-03-16,-1.0,20.0,17.0,-16.0,-21.0,8.0
Newport County,2020-03-17,-28.0,10.0,-14.0,-38.0,-30.0,14.0
Newport County,2020-03-18,-24.0,6.0,65.0,-24.0,-33.0,14.0
Newport County,2020-03-19,-36.0,-9.0,-32.0,-47.0,-40.0,18.0
Newport County,2020-03-20,-32.0,4.0,2.0,-34.0,-36.0,18.0
Newport County,2020-03-21,-37.0,-4.0,85.0,,-29.0,
Newport County,2020-03-22,-40.0,-11.0,20.0,,-34.0,
Newport County,2020-03-23,-40.0,-17.0,-30.0,-56.0,-43.0,18.0
Newport County,2020-03-24,-39.0,-14.0,39.0,-44.0,-46.0,19.0
Newport County,2020-03-25,-44.0,-17.0,-19.0,-42.0,-47.0,20.0
Newport County,2020-03-26,-38.0,-23.0,92.0,-37.0,-46.0,19.0
Newport County,2020-03-27,-39.0,-21.0,89.0,-24.0,-46.0,21.0
Newport County,2020-03-28,-44.0,-18.0,33.0,,-39.0,
Newport County,2020-03-29,-57.0,-32.0,-60.0,,-39.0,
Newport County,2020-03-30,-43.0,-29.0,-6.0,-44.0,-50.0,20.0
Newport County,2020-03-31,-40.0,-21.0,35.0,-47.0,-50.0,20.0
Newport County,2020-04-01,-42.0,-21.0,-8.0,-51.0,-50.0,20.0
Newport County,2020-04-02,-46.0,-28.0,-19.0,-51.0,-51.0,22.0
Newport County,2020-04-03,-52.0,-30.0,-59.0,-51.0,-50.0,26.0
Newport County,2020-04-04,-51.0,-23.0,-27.0,,-39.0,
Newport County,2020-04-05,-53.0,-25.0,-34.0,,-41.0,
Newport County,2020-04-06,-39.0,-27.0,42.0,-40.0,-53.0,19.0
Newport County,2020-04-07,-42.0,-16.0,34.0,-47.0,-52.0,20.0
Newport County,2020-04-08,-47.0,-26.0,-27.0,-53.0,-53.0,22.0
Newport County,2020-04-09,-48.0,-33.0,-34.0,-53.0,-54.0,23.0
Newport County,2020-04-10,-42.0,-15.0,-26.0,-41.0,-53.0,24.0
Newport County,2020-04-11,-43.0,-8.0,-1.0,,-40.0,
Newport County,2020-04-12,-61.0,-40.0,-24.0,,-44.0,
Newport County,2020-04-13,-57.0,-36.0,-52.0,-75.0,-56.0,23.0
Newport County,2020-04-14,-35.0,-9.0,43.0,-55.0,-49.0,19.0
Newport County,2020-04-15,-39.0,-14.0,-14.0,-58.0,-51.0,21.0
Newport County,2020-04-16,-40.0,-19.0,6.0,-52.0,-51.0,21.0
Newport County,2020-04-17,-38.0,-14.0,-8.0,-51.0,-47.0,22.0
Newport County,2020-04-18,-53.0,-20.0,-59.0,-61.0,-37.0,
Newport County,2020-04-19,-38.0,-14.0,-1.0,,-39.0,
Newport County,2020-04-20,-40.0,-20.0,9.0,-50.0,-51.0,19.0
Newport County,2020-04-21,-42.0,-17.0,-15.0,-60.0,-50.0,21.0
Newport County,2020-04-22,-39.0,-12.0,1.0,-56.0,-49.0,21.0
Newport County,2020-04-23,-39.0,-19.0,23.0,-50.0,-49.0,20.0
