date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-07-26,88,51,70,28,88,19
2020-07-27,74,30,58,15,24,22
2020-07-28,71,20,52,15,24,28
2020-07-29,83,58,58,14,45,24
2020-07-30,86,62,60,14,96,24
2020-07-31,82,63,55,14,36,38
2020-08-01,87,63,67,19,63,15
2020-08-02,85,50,71,21,87,27
2020-08-03,80,65,60,14,22,26
2020-08-04,59,62,44,11,20,27
