date,census_fips_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,,3.0,0.0,9.0,0.0,-2.0,0.0
2020-02-16,,5.0,-1.0,12.0,0.0,-4.0,-1.0
2020-02-17,,-3.0,-4.0,16.0,-4.0,-26.0,7.0
2020-02-18,,-2.0,0.0,1.0,4.0,8.0,0.0
2020-02-19,,-2.0,-2.0,6.0,4.0,8.0,-1.0
2020-02-20,,-2.0,1.0,3.0,1.0,8.0,0.0
2020-02-21,,0.0,-1.0,8.0,3.0,10.0,-1.0
2020-02-22,,1.5,-1.0,9.0,2.0,-1.0,0.0
2020-02-23,,-3.0,-3.5,8.0,1.0,-4.0,0.0
2020-02-24,,-8.5,-4.0,-11.0,1.0,15.0,0.0
2020-02-25,,-10.0,-9.0,-20.5,-1.0,7.0,1.0
2020-02-26,,-2.0,-2.5,7.0,3.0,9.0,-1.0
2020-02-27,,3.0,0.5,14.0,5.0,9.0,-1.0
2020-02-28,,5.0,2.0,10.0,4.0,10.0,-3.0
2020-02-29,,4.5,-1.0,14.0,4.0,0.0,-1.5
2020-03-01,,4.0,1.0,16.5,8.0,-3.0,-1.0
2020-03-02,,-3.0,4.0,-1.0,3.0,-8.0,3.0
2020-03-03,,4.0,8.0,8.0,4.0,9.0,-2.0
2020-03-04,,1.0,6.0,10.0,4.0,9.0,-1.0
2020-03-05,,1.0,1.0,6.5,4.0,8.0,-1.0
2020-03-06,,0.5,3.5,10.0,1.0,9.0,-1.5
2020-03-07,,1.5,1.0,18.0,4.0,-2.0,-1.0
2020-03-08,,1.0,2.0,10.0,1.0,-4.0,0.0
2020-03-09,,-9.0,-3.0,-12.0,2.0,11.5,0.0
2020-03-10,,-3.0,4.0,3.0,2.0,7.0,0.0
2020-03-11,,-3.0,4.0,-7.0,1.0,7.0,0.0
2020-03-12,,3.0,27.0,-3.0,-6.0,6.5,-1.0
2020-03-13,,-3.0,25.5,-5.5,-7.0,6.0,0.0
2020-03-14,,-11.0,26.0,-17.0,-17.0,-3.0,4.0
2020-03-15,,-28.0,16.0,-23.0,-18.0,-10.0,4.5
2020-03-16,,-53.5,-2.0,-32.0,-23.0,-36.0,17.0
2020-03-17,,-64.0,-20.0,-53.0,-27.0,-49.0,22.5
2020-03-18,,-66.0,-24.0,-59.5,-32.0,-52.5,24.5
2020-03-19,,-68.0,-27.5,-59.0,-43.0,-54.0,25.5
2020-03-20,,-67.0,-20.0,-59.0,-46.0,-52.0,25.0
2020-03-21,,-70.0,-20.5,-69.0,-47.0,-43.0,13.0
2020-03-22,,-78.0,-42.0,-72.0,-52.0,-45.0,9.5
2020-03-23,,-72.0,-38.0,-65.0,-52.0,-56.0,23.0
2020-03-24,,-72.0,-40.0,-64.0,-52.0,-56.0,25.0
2020-03-25,,-70.0,-38.0,-63.0,-52.0,-56.0,24.0
2020-03-26,,-69.5,-36.0,-60.5,-57.0,-57.5,24.0
2020-03-27,,-69.5,-29.0,-63.5,-60.0,-55.0,25.5
2020-03-28,,-73.0,-38.0,-68.0,-59.0,-47.0,17.0
2020-03-29,,-80.0,-51.0,-73.0,-60.0,-48.0,11.5
2020-03-30,,-70.0,-34.5,-62.5,-56.0,-52.0,22.5
2020-03-31,,-73.5,-45.0,-69.0,-52.0,-58.0,24.5
2020-04-01,,-75.0,-48.0,-69.0,-54.0,-59.0,25.0
