date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,2,3,30,25,12,24
2020-02-16,35,3,18,46,29,15
2020-02-17,47,5,52,7,12,43
2020-02-18,28,3,6,3,4,48
2020-02-19,46,10,46,7,5,44
2020-02-20,39,6,38,21,7,39
2020-02-21,22,5,15,8,8,46
2020-02-22,38,3,52,23,16,16
2020-02-23,44,6,52,40,44,16
2020-02-24,50,10,52,29,40,3
2020-02-25,32,13,43,41,18,17
2020-02-26,25,6,31,18,20,13
2020-02-27,25,7,25,15,20,32
2020-02-28,30,4,14,27,43,23
2020-02-29,14,3,36,11,11,35
2020-03-01,21,17,7,25,48,30
2020-03-02,39,33,50,6,18,24
2020-03-03,18,10,50,11,23,13
2020-03-04,35,7,26,5,12,14
2020-03-05,27,8,49,19,21,16
2020-03-06,22,4,19,12,37,42
2020-03-07,12,2,25,5,14,47
2020-03-08,25,1,34,11,46,28
2020-03-09,51,7,52,9,34,10
2020-03-10,30,2,49,7,19,14
2020-03-11,27,6,46,6,10,42
2020-03-12,20,30,33,9,26,31
2020-03-13,16,47,12,4,40,37
2020-03-14,15,39,52,8,10,19
2020-03-15,11,9,51,9,34,44
2020-03-16,13,21,47,6,13,41
2020-03-17,5,9,12,6,10,45
2020-03-18,15,11,52,6,15,39
2020-03-19,11,11,15,5,14,42
2020-03-20,25,38,46,9,18,39
2020-03-21,29,31,52,11,17,28
2020-03-22,19,14,48,11,30,40
2020-03-23,9,10,18,6,18,40
2020-03-24,26,22,51,6,19,33
2020-03-25,18,16,24,6,18,39
2020-03-26,30,30,52,10,22,29
2020-03-27,34,27,52,12,21,32
2020-03-28,34,31,51,14,22,27
2020-03-29,13,10,7,8,24,43
2020-03-30,13,15,30,7,18,39
2020-03-31,18,14,48,9,17,39
2020-04-01,17,19,30,7,18,34
2020-04-02,19,25,22,8,17,33
2020-04-03,12,16,7,7,17,46
2020-04-04,19,22,42,10,16,31
2020-04-05,11,13,22,12,28,40
2020-04-06,29,19,50,11,18,33
2020-04-07,22,13,41,7,16,37
2020-04-08,12,10,11,7,16,43
2020-04-09,11,8,13,7,15,41
2020-04-10,18,25,23,8,25,38
2020-04-11,22,26,43,9,11,37
2020-04-12,32,16,41,11,30,29
2020-04-13,7,6,9,5,11,45
2020-04-14,39,31,52,7,16,32
2020-04-15,18,13,38,7,16,34
2020-04-16,21,18,38,8,15,37
2020-04-17,24,26,35,7,16,35
2020-04-18,8,8,11,6,9,47
2020-04-19,33,15,37,11,28,35
2020-04-20,19,10,28,7,14,40
2020-04-21,12,8,12,6,16,43
2020-04-22,20,14,25,7,15,37
2020-04-23,23,17,38,7,16,34
2020-04-24,13,14,9,6,16,45
2020-04-25,24,11,50,9,13,38
2020-04-26,13,8,9,8,14,43
2020-04-27,9,5,7,4,11,43
2020-04-28,21,14,32,6,17,46
2020-04-29,19,13,41,7,15,33
2020-04-30,13,14,18,7,14,42
2020-05-01,16,16,26,7,11,45
2020-05-02,22,20,43,13,11,39
2020-05-03,29,13,37,21,28,32
2020-05-04,23,10,42,7,14,42
2020-05-05,28,17,45,7,17,37
2020-05-06,17,13,25,7,13,39
2020-05-07,15,10,40,7,16,41
2020-05-08,15,13,26,7,12,43
2020-05-09,16,15,23,8,10,42
