date,census_fips_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-06-16,70753.32608695653,-9.219780219780219,-2.6315789473684212,83.7457627118644,-21.927272727272726,-29.388429752066116,10.967213114754099
2020-06-17,70753.32608695653,-9.5,-4.3052631578947365,82.12068965517241,-20.745454545454546,-29.74380165289256,10.688524590163935
2020-06-18,70753.32608695653,-9.612903225806452,-2.3297872340425534,82.19354838709677,-20.254545454545454,-30.223140495867767,10.62295081967213
2020-06-19,70724.42222222222,-11.515463917525773,-0.8229166666666666,90.44067796610169,-18.654545454545456,-28.4,8.80327868852459
2020-06-20,70386.72222222222,-12.676767676767676,6.5625,103.53333333333333,-12.690909090909091,-11.02,2.981818181818182
2020-06-21,70228.75757575757,-24.645833333333332,-16.144444444444446,100.015625,-14.218181818181819,-14.032608695652174,1.1481481481481481
2020-06-22,70695.29545454546,-12.831460674157304,-8.083333333333334,72.73333333333333,-21.418181818181818,-30.177966101694917,10.116666666666667
2020-06-23,70753.32608695653,-12.362637362637363,-7.092783505154639,85.8360655737705,-20.563636363636363,-31.793388429752067,10.766666666666667
2020-06-24,70753.32608695653,-10.923076923076923,-7.412371134020619,85.27118644067797,-19.272727272727273,-29.917355371900825,10.475409836065573
2020-06-25,70753.32608695653,-10.384615384615385,-5.21875,91.44262295081967,-18.21818181818182,-29.74380165289256,10.508196721311476
2020-06-26,70724.42222222222,-13.68041237113402,-6.453608247422681,91.37931034482759,-17.472727272727273,-28.35,10.229508196721312
2020-06-27,70432.72972972973,-14.21,-6.424242424242424,99.6,-9.218181818181819,-12.656862745098039,3.4727272727272727
2020-06-28,70282.58823529411,-14.229166666666666,-10.709302325581396,84.39393939393939,-11.963636363636363,-13.206521739130435,2.7777777777777777
2020-06-29,70663.69767441861,-8.280898876404494,-5.447916666666667,71.40677966101696,-19.78181818181818,-26.05982905982906,9.80327868852459
2020-06-30,70753.32608695653,-6.758241758241758,-4.816326530612245,77.1864406779661,-19.054545454545455,-29.05785123966942,10.491803278688524
2020-07-01,70753.32608695653,-4.129032258064516,-1.9895833333333333,86.34482758620689,-15.018181818181818,-29.74380165289256,9.655737704918034
2020-07-02,70753.32608695653,-1.4673913043478262,3.0729166666666665,114.8688524590164,-11.254545454545454,-31.1900826446281,9.114754098360656
2020-07-03,70753.32608695653,-5.0625,7.670212765957447,137.43859649122808,-17.854545454545455,-41.43801652892562,12.813559322033898
2020-07-04,70554.2,-28.292929292929294,-10.930693069306932,136.39655172413794,-22.21818181818182,-25.78640776699029,3.6363636363636362
2020-07-05,70282.58823529411,-15.863157894736842,-12.282352941176471,96.10606060606061,-11.50909090909091,-18.02173913043478,1.8148148148148149
2020-07-06,70724.3111111111,-5.224719101123595,-1.925531914893617,91.33898305084746,-16.563636363636363,-29.403361344537814,9.770491803278688
2020-07-07,70753.32608695653,-9.241758241758241,-5.443298969072165,88.45762711864407,-17.145454545454545,-31.082644628099175,10.80327868852459
2020-07-08,70753.32608695653,-7.752688172043011,-3.8333333333333335,81.42372881355932,-17.854545454545455,-29.677685950413224,10.426229508196721
2020-07-09,70753.32608695653,-8.76086956521739,-4.336842105263158,92.16666666666667,-18.163636363636364,-29.727272727272727,10.508196721311476
2020-07-10,70724.42222222222,-12.583333333333334,-5.175257731958763,83.12068965517241,-18.181818181818183,-28.2,10.573770491803279
2020-07-11,70477.68421052632,-13.636363636363637,-4.606060606060606,100.21666666666667,-9.927272727272728,-12.07843137254902,3.672727272727273
2020-07-12,70229.9696969697,-13.136842105263158,-7.209302325581396,101.41791044776119,-11.236363636363636,-14.91304347826087,2.5555555555555554
2020-07-13,70695.29545454546,-8.370786516853933,-3.40625,89.54237288135593,-19.036363636363635,-27.11864406779661,9.40983606557377
2020-07-14,70753.32608695653,-8.186813186813186,-3.0210526315789474,94.33898305084746,-19.472727272727273,-30.09090909090909,10.360655737704919
2020-07-15,70753.32608695653,-7.817204301075269,-2.694736842105263,92.05172413793103,-18.818181818181817,-29.429752066115704,10.081967213114755
2020-07-16,70753.32608695653,-10.571428571428571,-3.148936170212766,93.68852459016394,-18.581818181818182,-30.40495867768595,10.442622950819672
2020-07-17,70724.42222222222,-15.83673469387755,-4.421052631578948,83.86440677966101,-18.12727272727273,-29.1,10.566666666666666
2020-07-18,70475.52631578948,-19.1010101010101,-5.404040404040404,98.21212121212122,-10.454545454545455,-13.676470588235293,3.6
2020-07-19,70282.58823529411,-20.979166666666668,-9.418604651162791,78.78082191780823,-12.436363636363636,-17.152173913043477,2.6666666666666665
2020-07-20,70695.29545454546,-11.561797752808989,-3.473684210526316,85.55,-20.381818181818183,-28.76271186440678,9.9
2020-07-21,70753.32608695653,-12.362637362637363,-6.288659793814433,90.61666666666666,-20.963636363636365,-31.884297520661157,10.836065573770492
2020-07-22,70753.32608695653,-12.054347826086957,-5.242105263157895,78.0,-20.272727272727273,-30.760330578512395,10.770491803278688
2020-07-23,70753.32608695653,-12.0,-5.484536082474227,81.16129032258064,-19.490909090909092,-31.272727272727273,10.852459016393443
2020-07-24,70753.32608695653,-16.7319587628866,-5.422680412371134,90.74137931034483,-18.945454545454545,-31.58677685950413,10.728813559322035
2020-07-25,70516.89743589744,-18.632653061224488,-6.21,108.23809523809524,-10.581818181818182,-16.567307692307693,3.4727272727272727
2020-07-26,70282.58823529411,-29.625,-13.147727272727273,78.98630136986301,-12.945454545454545,-19.98913043478261,2.5660377358490565
2020-07-27,70724.3111111111,-7.329545454545454,-0.23655913978494625,86.77966101694915,-20.509090909090908,-29.58823529411765,9.616666666666667
2020-07-28,70753.32608695653,-8.538461538461538,1.2717391304347827,88.86440677966101,-21.01818181818182,-31.363636363636363,10.180327868852459
2020-07-29,70781.40425531915,-16.177777777777777,-4.989473684210527,82.11666666666666,-20.727272727272727,-34.57377049180328,10.616666666666667
2020-07-30,70807.5625,-36.52127659574468,-32.45,64.38461538461539,-21.745454545454546,-56.233870967741936,11.11111111111111
2020-07-31,70781.40425531915,-14.90625,-7.404040404040404,86.76666666666667,-16.927272727272726,-32.58196721311475,9.45
2020-08-01,70518.23076923077,-15.464646464646465,-5.69,92.03030303030303,-8.927272727272728,-14.425742574257425,2.9272727272727272
2020-08-02,70334.2,-26.989795918367346,-13.431818181818182,62.78378378378378,-11.254545454545454,-19.677419354838708,2.4339622641509435
2020-08-03,70695.29545454546,-5.337078651685394,-3.2708333333333335,84.05,-18.672727272727272,-27.872881355932204,8.80327868852459
2020-08-04,70753.32608695653,-9.23076923076923,-5.639175257731959,83.33898305084746,-21.654545454545456,-31.264462809917354,10.39344262295082
2020-08-05,70753.32608695653,-9.108695652173912,-5.873684210526315,97.15,-18.636363636363637,-30.59504132231405,9.229508196721312
2020-08-06,70753.32608695653,-11.21505376344086,-6.257731958762887,91.25806451612904,-18.036363636363635,-30.93388429752066,9.688524590163935
2020-08-07,70724.42222222222,-14.510204081632653,-7.622448979591836,91.11666666666666,-17.01818181818182,-28.791666666666668,9.40983606557377
2020-08-08,70337.17142857143,-14.11111111111111,-3.134020618556701,112.43548387096774,-9.054545454545455,-13.287128712871286,2.709090909090909
2020-08-09,70282.58823529411,-25.628865979381445,-13.632183908045977,89.08571428571429,-10.290909090909091,-17.434782608695652,2.185185185185185
2020-08-10,70694.09090909091,-9.179775280898877,-5.666666666666667,86.1,-19.527272727272727,-28.06779661016949,8.737704918032787
2020-08-11,70753.32608695653,-9.802197802197803,-6.75,95.65,-19.727272727272727,-30.165289256198346,9.540983606557377
2020-08-12,70753.32608695653,-12.244444444444444,-7.59375,83.58333333333333,-18.425925925925927,-30.03305785123967,10.0
2020-08-13,70753.32608695653,-11.0,-5.855670103092783,72.53333333333333,-18.945454545454545,-30.123966942148762,9.78688524590164
2020-08-14,70724.42222222222,-14.010204081632653,-4.793814432989691,87.98333333333333,-17.78181818181818,-28.125,9.311475409836065
2020-08-15,70432.72972972973,-14.444444444444445,-2.9591836734693877,96.87301587301587,-10.090909090909092,-14.284313725490197,2.8363636363636364
2020-08-16,70229.9696969697,-26.96875,-14.48314606741573,70.54166666666667,-11.50909090909091,-18.93548387096774,2.2264150943396226
2020-08-17,65305.666666666664,-8.290909090909091,-1.6666666666666667,60.4054054054054,-19.638297872340427,-34.12280701754386,8.60655737704918
2020-08-18,65305.666666666664,-9.127272727272727,-0.7592592592592593,71.30555555555556,-20.5531914893617,-33.53448275862069,9.639344262295081
2020-08-19,65305.666666666664,-8.690909090909091,-1.0566037735849056,65.19444444444444,-20.148936170212767,-33.724137931034484,9.442622950819672
2020-08-20,65305.666666666664,-9.894736842105264,-0.5849056603773585,70.72222222222223,-18.893617021276597,-33.793103448275865,9.344262295081966
2020-08-21,65305.666666666664,-13.333333333333334,-1.2884615384615385,69.35135135135135,-17.958333333333332,-32.775862068965516,9.180327868852459
2020-08-22,61898.333333333336,-23.24137931034483,-4.074074074074074,94.73684210526316,-12.565217391304348,-14.962962962962964,3.0576923076923075
2020-08-23,59865.4,-15.385964912280702,-1.6415094339622642,79.38461538461539,-15.090909090909092,-13.826923076923077,2.1153846153846154
2020-08-24,64451.5,-10.818181818181818,-3.5,49.31578947368421,-22.106382978723403,-33.07017543859649,8.966666666666667
2020-08-25,65305.666666666664,-11.145454545454545,-2.425925925925926,55.16216216216216,-22.04255319148936,-33.793103448275865,9.868852459016393
2020-08-26,65305.666666666664,-9.964285714285714,-1.6111111111111112,59.648648648648646,-21.23404255319149,-32.60344827586207,9.40983606557377
2020-08-27,65305.666666666664,-13.210526315789474,-3.8333333333333335,52.36842105263158,-21.340425531914892,-33.3448275862069,10.049180327868852
2020-08-28,65305.666666666664,-14.105263157894736,-4.462962962962963,53.78947368421053,-19.291666666666668,-31.448275862068964,9.147540983606557
2020-08-29,59865.4,-15.771929824561404,-2.2777777777777777,79.2051282051282,-14.304347826086957,-12.653846153846153,3.5090909090909093
2020-08-30,59865.4,-14.140350877192983,-2.7547169811320753,89.48717948717949,-15.431818181818182,-13.461538461538462,2.0943396226415096
2020-08-31,65305.666666666664,-10.181818181818182,-3.962962962962963,42.8974358974359,-21.361702127659573,-32.160714285714285,8.37704918032787
2020-09-01,65305.666666666664,-8.446428571428571,0.4074074074074074,52.16216216216216,-20.085106382978722,-32.94827586206897,9.098360655737705
2020-09-02,65305.666666666664,-9.517857142857142,-1.6111111111111112,51.21052631578947,-20.170212765957448,-32.60344827586207,9.0
2020-09-03,65305.666666666664,-8.403508771929825,1.8888888888888888,57.526315789473685,-16.06382978723404,-32.827586206896555,8.60655737704918
2020-09-04,65305.666666666664,-10.087719298245615,1.8888888888888888,77.48648648648648,-11.895833333333334,-33.1551724137931,7.819672131147541
2020-09-05,59865.4,-13.596491228070175,2.888888888888889,118.19444444444444,-9.608695652173912,-16.442307692307693,1.6727272727272726
2020-09-06,59865.4,-11.175438596491228,1.7884615384615385,117.8974358974359,-17.386363636363637,-17.173076923076923,0.8113207547169812
2020-09-07,63371.28571428572,-11.89090909090909,-4.537037037037037,99.86486486486487,-27.934782608695652,-68.10169491525424,15.793103448275861
2020-09-08,65305.666666666664,-12.436363636363636,-2.0,40.69230769230769,-22.851063829787233,-34.3448275862069,9.131147540983607
2020-09-09,65305.666666666664,-12.543859649122806,-3.388888888888889,39.6578947368421,-22.106382978723403,-32.39655172413793,8.737704918032787
2020-09-10,65305.666666666664,-13.543859649122806,-3.611111111111111,41.69230769230769,-21.319148936170212,-32.58620689655172,8.540983606557377
2020-09-11,70724.42222222222,-16.377551020408163,-9.479591836734693,61.75806451612903,-20.327272727272728,-26.266666666666666,7.540983606557377
2020-09-12,70518.23076923077,-15.444444444444445,-7.74,80.61538461538461,-14.571428571428571,-14.245098039215685,2.0545454545454547
2020-09-13,70282.58823529411,-18.783505154639176,-10.943181818181818,64.94366197183099,-16.196428571428573,-17.77173913043478,1.9259259259259258
2020-09-14,70695.29545454546,-12.988888888888889,-8.02061855670103,62.333333333333336,-21.618181818181817,-22.957264957264957,7.295081967213115
2020-09-15,70753.32608695653,-13.56043956043956,-10.151515151515152,66.28333333333333,-23.339285714285715,-26.082644628099175,8.62295081967213
2020-09-16,70753.32608695653,-13.870967741935484,-11.13265306122449,63.5,-22.964285714285715,-26.363636363636363,8.360655737704919
2020-09-17,70753.32608695653,-15.782608695652174,-12.4,55.04838709677419,-22.464285714285715,-26.776859504132233,8.737704918032787
2020-09-18,70724.42222222222,-14.54639175257732,-9.717171717171718,62.26229508196721,-21.071428571428573,-24.208333333333332,7.918032786885246
2020-09-19,70516.17948717948,-14.212121212121213,-9.223300970873787,84.49230769230769,-14.714285714285714,-13.900990099009901,2.090909090909091
2020-09-20,70282.58823529411,-15.8659793814433,-10.534090909090908,66.29166666666667,-15.571428571428571,-16.445652173913043,1.8703703703703705
2020-09-21,70695.29545454546,-14.311111111111112,-10.887755102040817,54.333333333333336,-23.5,-24.316239316239315,8.065573770491802
2020-09-22,70753.32608695653,-16.304347826086957,-11.26530612244898,51.1,-25.107142857142858,-26.636363636363637,9.032786885245901
2020-09-23,70753.32608695653,-17.98936170212766,-12.71,41.66129032258065,-24.982142857142858,-25.611570247933884,9.788732394366198
2020-09-24,70753.32608695653,-18.16304347826087,-12.892156862745098,38.111111111111114,-24.375,-25.768595041322314,10.098591549295774
2020-09-25,70724.42222222222,-17.052083333333332,-10.474747474747474,46.83870967741935,-22.946428571428573,-23.416666666666668,9.088235294117647
2020-09-26,70516.17948717948,-16.57,-9.901960784313726,69.43939393939394,-16.928571428571427,-11.9,3.135593220338983
2020-09-27,70282.58823529411,-18.947916666666668,-12.080459770114942,43.513513513513516,-17.464285714285715,-15.652173913043478,3.086206896551724
2020-09-28,70663.69767441861,-16.822222222222223,-10.030927835051546,28.75409836065574,-25.517857142857142,-22.49137931034483,8.91044776119403
2020-09-29,70753.32608695653,-16.582417582417584,-9.438775510204081,27.484375,-25.946428571428573,-25.41322314049587,9.67605633802817
2020-09-30,70753.32608695653,-14.978494623655914,-8.03125,32.483333333333334,-23.839285714285715,-26.03305785123967,8.80281690140845
2020-10-01,70753.32608695653,-14.580645161290322,-8.49,32.38095238095238,-21.714285714285715,-25.28099173553719,8.222222222222221
2020-10-02,70724.42222222222,-14.877551020408163,-7.612244897959184,34.064516129032256,-20.678571428571427,-23.266666666666666,7.811594202898551
2020-10-03,70476.8947368421,-15.303030303030303,-7.41,49.7,-14.392857142857142,-14.294117647058824,2.4745762711864407
2020-10-04,70334.2,-17.432989690721648,-9.64367816091954,33.55844155844156,-15.714285714285714,-17.978494623655912,2.3793103448275863
2020-10-05,70724.3111111111,-15.744444444444444,-10.393939393939394,30.403225806451612,-23.464285714285715,-23.747899159663866,7.676470588235294
2020-10-06,70753.32608695653,-15.417582417582418,-9.565656565656566,40.142857142857146,-22.490909090909092,-26.231404958677686,8.169014084507042
2020-10-07,70753.32608695653,-16.9247311827957,-11.735294117647058,39.950819672131146,-23.696428571428573,-25.52892561983471,8.633802816901408
2020-10-08,70753.32608695653,-16.93548387096774,-11.514851485148515,40.19047619047619,-22.0,-25.677685950413224,9.112676056338028
2020-10-09,70724.42222222222,-16.3265306122449,-9.479591836734693,51.36065573770492,-21.125,-24.025,8.521739130434783
2020-10-10,70514.84615384616,-17.949494949494948,-10.803921568627452,64.0,-17.428571428571427,-13.794117647058824,3.440677966101695
2020-10-11,70282.58823529411,-17.75,-12.241379310344827,39.291666666666664,-17.446428571428573,-16.880434782608695,3.293103448275862
2020-10-12,70753.32608695653,-14.955555555555556,-13.22,29.266666666666666,-23.654545454545456,-37.69421487603306,10.462686567164178
2020-10-13,70753.32608695653,-18.0989010989011,-13.06060606060606,27.161290322580644,-24.910714285714285,-25.8099173553719,9.577464788732394
2020-10-14,70753.32608695653,-15.634408602150538,-9.224489795918368,31.095238095238095,-21.545454545454547,-24.487603305785125,9.333333333333334
2020-10-15,70753.32608695653,-16.619565217391305,-10.181818181818182,27.476190476190474,-21.946428571428573,-24.892561983471076,9.742857142857142
2020-10-16,70724.42222222222,-18.567010309278352,-10.346938775510203,16.21875,-22.767857142857142,-23.341666666666665,9.852941176470589
2020-10-17,70516.17948717948,-16.05,-8.138613861386139,40.5,-16.446428571428573,-13.099009900990099,3.8135593220338984
2020-10-18,70282.58823529411,-18.814432989690722,-11.613636363636363,18.14864864864865,-17.410714285714285,-16.619565217391305,3.7758620689655173
2020-10-19,70663.69767441861,-16.967032967032967,-10.77319587628866,13.65,-25.142857142857142,-21.939655172413794,8.970588235294118
2020-10-20,70753.32608695653,-17.582417582417584,-11.69,16.112903225806452,-25.803571428571427,-24.867768595041323,10.04225352112676
2020-10-21,70753.32608695653,-16.319148936170212,-10.595959595959595,21.433333333333334,-23.236363636363638,-24.24793388429752,9.569444444444445
2020-10-22,70753.32608695653,-17.138297872340427,-11.0,22.015873015873016,-24.160714285714285,-24.917355371900825,9.666666666666666
2020-10-23,70724.42222222222,-16.65625,-10.232323232323232,16.774193548387096,-23.803571428571427,-23.125,9.159420289855072
2020-10-24,70516.1282051282,-17.292929292929294,-10.534653465346535,29.56923076923077,-18.854545454545455,-13.088235294117647,4.084745762711864
2020-10-25,70229.9696969697,-19.552083333333332,-12.816091954022989,4.180555555555555,-22.589285714285715,-16.75,4.258620689655173
2020-10-26,70724.3111111111,-18.144444444444446,-12.13265306122449,-3.6666666666666665,-27.053571428571427,-22.61864406779661,9.27536231884058
2020-10-27,70753.32608695653,-17.956043956043956,-12.95,4.190476190476191,-25.875,-26.082644628099175,10.13888888888889
2020-10-28,70753.32608695653,-16.612903225806452,-11.900990099009901,0.9516129032258065,-26.571428571428573,-24.735537190082646,9.847222222222221
2020-10-29,70753.32608695653,-17.806451612903224,-12.74,-7.0,-27.017857142857142,-25.47107438016529,10.26388888888889
2020-10-30,70724.42222222222,-14.45360824742268,-6.8979591836734695,6.935483870967742,-24.625,-23.225,8.685714285714285
2020-10-31,70476.8947368421,-16.97979797979798,-3.77,28.794117647058822,-20.982142857142858,-11.54,3.1016949152542375
2020-11-01,70229.9696969697,-19.021052631578947,-12.827586206896552,-3.2027027027027026,-24.607142857142858,-15.826086956521738,4.017241379310345
2020-11-02,70753.32608695653,-13.466666666666667,-4.557894736842106,1.4666666666666666,-27.464285714285715,-24.766666666666666,8.647058823529411
2020-11-03,70807.5625,-22.097826086956523,-22.778846153846153,25.683333333333334,-27.321428571428573,-49.886178861788615,11.347826086956522
2020-11-04,70753.32608695653,-18.78021978021978,-12.76,8.5,-27.982142857142858,-27.15702479338843,10.507042253521126
2020-11-05,70753.32608695653,-17.580645161290324,-11.343434343434344,8.890625,-27.196428571428573,-25.43801652892562,10.069444444444445
2020-11-06,70724.42222222222,-17.197916666666668,-10.414141414141413,13.444444444444445,-27.071428571428573,-22.775,9.628571428571428
2020-11-07,70556.15,-17.425742574257427,-10.882352941176471,25.5,-22.732142857142858,-12.029702970297029,4.677966101694915
2020-11-08,70284.64705882352,-21.48421052631579,-14.272727272727273,10.363636363636363,-23.345454545454544,-16.688172043010752,4.5
2020-11-09,70724.3111111111,-17.677777777777777,-11.646464646464647,2.4754098360655736,-29.071428571428573,-22.822033898305083,9.405797101449275
2020-11-10,70753.32608695653,-18.846153846153847,-11.93939393939394,-2.109375,-28.6,-26.90909090909091,10.816901408450704
2020-11-11,70780.63829787234,-16.9010989010989,-14.617647058823529,-9.564516129032258,-31.107142857142858,-38.532786885245905,13.202898550724637
2020-11-12,70753.32608695653,-18.78494623655914,-10.797979797979798,-11.777777777777779,-29.678571428571427,-25.735537190082646,11.13888888888889
2020-11-13,70724.42222222222,-17.875,-9.285714285714286,-6.241935483870968,-28.964285714285715,-23.1,10.385714285714286
2020-11-14,70476.8947368421,-18.646464646464647,-9.76,-0.5507246376811594,-26.982142857142858,-12.277227722772277,5.745762711864407
2020-11-15,70229.9696969697,-20.957894736842107,-12.275862068965518,-10.733333333333333,-28.142857142857142,-16.380434782608695,5.310344827586207
2020-11-16,70695.29545454546,-18.08888888888889,-9.755102040816327,-6.737704918032787,-29.839285714285715,-22.74576271186441,9.357142857142858
2020-11-17,70753.32608695653,-19.505494505494507,-12.06060606060606,-7.048387096774194,-30.482142857142858,-26.41322314049587,10.75
2020-11-18,70753.32608695653,-18.652173913043477,-9.693877551020408,-9.714285714285714,-29.696428571428573,-25.68595041322314,10.722222222222221
2020-11-19,70781.40425531915,-19.774193548387096,-12.356435643564357,-7.7846153846153845,-29.267857142857142,-33.76229508196721,11.9
2020-11-20,70753.32608695653,-19.628865979381445,-8.214285714285714,-2.8,-27.446428571428573,-25.082644628099175,10.72463768115942
2020-11-21,70518.23076923077,-21.333333333333332,-8.316831683168317,-1.6338028169014085,-21.875,-11.97,6.016949152542373
2020-11-22,70284.64705882352,-24.783505154639176,-10.74712643678161,-18.32051282051282,-27.232142857142858,-15.815217391304348,5.741379310344827
2020-11-23,70724.3111111111,-15.444444444444445,-3.231578947368421,-11.540983606557377,-30.125,-25.83050847457627,10.147058823529411
2020-11-24,70753.32608695653,-13.866666666666667,-0.2916666666666667,-10.095238095238095,-26.482142857142858,-29.041322314049587,10.777777777777779
2020-11-25,70753.32608695653,-3.8351648351648353,20.813186813186814,-7.338709677419355,-23.803571428571427,-31.50413223140496,9.88888888888889
2020-11-26,70807.5625,-71.35416666666667,-46.336633663366335,-13.555555555555555,-56.982142857142854,-75.99193548387096,23.970149253731343
2020-11-27,70807.5625,-23.395833333333332,-17.03061224489796,4.0,-42.910714285714285,-53.15447154471545,18.46268656716418
2020-11-28,70556.15,-23.31,-16.533980582524272,1.6470588235294117,-28.303571428571427,-17.95049504950495,7.47457627118644
2020-11-29,70284.64705882352,-23.791666666666668,-17.193181818181817,-15.320512820512821,-21.785714285714285,-17.119565217391305,5.982758620689655
2020-11-30,70695.29545454546,-16.977777777777778,-10.959183673469388,-21.9672131147541,-30.928571428571427,-23.324786324786324,10.5
2020-12-01,70753.32608695653,-16.804347826086957,-9.622448979591837,-15.19047619047619,-28.21818181818182,-26.15702479338843,11.0
2020-12-02,70753.32608695653,-16.881720430107528,-9.459183673469388,-13.444444444444445,-30.964285714285715,-24.884297520661157,11.069444444444445
2020-12-03,70753.32608695653,-16.178947368421053,-6.371134020618556,-13.59375,-30.535714285714285,-25.05785123966942,11.097222222222221
2020-12-04,70724.42222222222,-18.670103092783506,-7.326530612244898,-13.21875,-32.25,-22.383333333333333,11.202898550724637
2020-12-05,70518.23076923077,-20.606060606060606,-8.73,-11.014084507042254,-29.732142857142858,-10.861386138613861,6.694915254237288
2020-12-06,70284.64705882352,-23.291666666666668,-12.586206896551724,-17.96153846153846,-30.803571428571427,-14.706521739130435,5.775862068965517
2020-12-07,70724.3111111111,-19.76923076923077,-11.742268041237113,-16.56451612903226,-33.464285714285715,-22.93220338983051,10.042857142857143
2020-12-08,70753.32608695653,-20.516483516483518,-12.295918367346939,-14.206349206349206,-32.92857142857143,-24.39669421487603,11.211267605633802
2020-12-09,70753.32608695653,-19.268817204301076,-11.63265306122449,-6.790322580645161,-31.625,-24.371900826446282,11.154929577464788
2020-12-10,70753.32608695653,-19.936842105263157,-9.797979797979798,-9.125,-31.589285714285715,-24.975206611570247,11.464788732394366
2020-12-11,70724.42222222222,-21.237113402061855,-8.783505154639176,-12.6875,-32.589285714285715,-22.158333333333335,11.779411764705882
2020-12-12,70518.23076923077,-21.86,-8.33,-13.309859154929578,-28.767857142857142,-11.851485148514852,6.864406779661017
2020-12-13,70334.2,-40.18556701030928,-23.41111111111111,-24.734177215189874,-31.12727272727273,-20.795698924731184,6.87719298245614
2020-12-14,70695.29545454546,-15.5,-6.457446808510638,-22.9672131147541,-33.57142857142857,-22.52991452991453,10.420289855072463
2020-12-15,70753.32608695653,-14.922222222222222,-7.175257731958763,-17.442622950819672,-31.089285714285715,-25.512396694214875,10.819444444444445
2020-12-16,70753.32608695653,-16.408602150537636,-6.88421052631579,-23.0,-32.160714285714285,-25.272727272727273,11.86111111111111
2020-12-17,70753.32608695653,-19.559139784946236,-9.53191489361702,-22.682539682539684,-33.339285714285715,-26.917355371900825,13.11111111111111
2020-12-18,70724.42222222222,-17.836734693877553,-4.010416666666667,-16.41269841269841,-27.392857142857142,-22.666666666666668,11.285714285714286
2020-12-19,70475.52631578948,-18.39,-3.938775510204082,-14.411764705882353,-17.25,-11.029702970297029,5.932203389830509
2020-12-20,70334.2,-34.55670103092783,-15.909090909090908,-24.474358974358974,-23.727272727272727,-18.172043010752688,6.0701754385964914
2020-12-21,70724.3111111111,-2.8202247191011236,4.935483870967742,-2.55,-26.214285714285715,-24.838983050847457,8.816901408450704
2020-12-22,70753.32608695653,-2.1648351648351647,8.273684210526316,-2.2419354838709675,-23.660714285714285,-28.619834710743802,9.652777777777779
2020-12-23,70753.32608695653,2.010989010989011,20.532608695652176,-4.883333333333334,-22.803571428571427,-30.983471074380166,9.847222222222221
2020-12-24,70807.5625,-17.225806451612904,21.626373626373628,-16.35483870967742,-38.142857142857146,-50.91056910569106,15.642857142857142
